VehicleID,Date,Time,Camera,Speed,Type
780,8/13/2020,2:25:43,Cam2,44.4853,Bus
781,8/14/2020,2:25:43,Cam2,49.8227,Bus
782,9/24/2020,11:18:31,Cam2,52.9413,Motorcycle
783,9/25/2020,17:18:31,Cam2,47.7149,Motorcycle
784,9/26/2020,17:18:31,Cam2,42.4456,Motorcycle
785,10/13/2020,4:06:31,Cam2,59.1951,Truck
786,10/14/2020,4:06:31,Cam2,47.366,Truck
787,10/15/2020,8:54:31,Cam2,59.2192,Car
788,10/16/2020,8:54:31,Cam2,50.8291,Car
789,10/17/2020,12:30:31,Cam2,50.6921,Car
790,11/8/2020,21:37:43,Cam2,53.846,Bus
791,11/9/2020,2:25:43,Cam2,44.5892,Car
792,12/1/2020,2:25:43,Cam2,43.6483,Car
793,12/2/2020,6:01:43,Cam2,58.7109,Motorcycle
794,12/3/2020,6:01:43,Cam2,55.8333,Motorcycle
795,12/4/2020,12:01:43,Cam2,49.4773,Motorcycle
796,12/5/2020,12:01:43,Cam2,58.1367,Motorcycle
797,1/3/2021,11:43:36,Cam2,51.9526,Truck
798,1/4/2021,6:10:51,Cam2,44.7604,Truck
799,1/5/2021,7:07:57,Cam2,60.2381,Car
800,1/6/2021,12:11:13,Cam2,54.4568,Car
801,1/7/2021,2:33:21,Cam2,48.9175,Car
802,1/8/2021,4:28:17,Cam2,48.9463,Car
803,1/16/2021,11:12:32,Cam2,56.3362,Motorcycle
804,1/17/2021,8:38:10,Cam2,61.2672,Motorcycle
805,1/18/2021,14:00:34,Cam2,52.9921,Motorcycle
806,1/19/2021,15:58:08,Cam2,48.1574,Bus
807,1/20/2021,11:20:45,Cam2,61.2809,Bus
808,1/21/2021,2:12:54,Cam2,43.3257,Bus
809,1/22/2021,13:43:37,Cam2,46.7024,Car
810,1/23/2021,4:08:27,Cam2,50.554,Motorcycle
811,1/24/2021,21:14:22,Cam2,51.3953,Car
812,1/25/2021,19:28:20,Cam2,42.8602,Car
813,2/1/2021,16:45:18,Cam2,46.5705,Car
814,2/2/2021,22:36:16,Cam2,46.9421,Bus
815,2/3/2021,1:01:43,Cam2,56.1786,Truck
816,2/4/2021,10:26:10,Cam2,57.6476,Motorcycle
817,2/5/2021,14:25:20,Cam2,61.9827,Truck
818,2/6/2021,16:14:41,Cam2,56.305,Bus
819,2/13/2021,23:26:26,Cam2,45.4898,Car
820,2/14/2021,4:40:01,Cam2,47.828,Truck
821,2/15/2021,0:49:05,Cam2,50.3544,Motorcycle
822,2/16/2021,8:04:09,Cam2,48.1169,Truck
823,2/17/2021,5:10:37,Cam2,60.5025,Truck
824,2/18/2021,17:11:21,Cam2,60.504,Car
825,2/19/2021,14:32:27,Cam2,53.2423,Bus
826,2/27/2021,2:24:12,Cam2,51.2924,Motorcycle
827,2/28/2021,22:42:21,Cam2,44.5587,Car
828,3/1/2021,0:38:52,Cam2,53.8509,Car
829,3/2/2021,21:02:40,Cam2,51.1229,Bus
830,3/3/2021,19:46:49,Cam2,55.2353,Truck
831,3/4/2021,8:13:49,Cam2,53.7356,Car
832,3/5/2021,6:59:21,Cam2,58.8668,Car
833,3/6/2021,2:23:42,Cam2,53.9752,Truck
834,3/14/2021,19:51:09,Cam2,56.6712,Car
835,3/15/2021,20:28:42,Cam2,53.3217,Truck
836,3/16/2021,22:38:47,Cam2,44.7726,Truck
837,3/17/2021,8:02:02,Cam2,55.9586,Bus
838,3/18/2021,2:23:53,Cam2,56.9987,Truck
839,3/19/2021,4:28:39,Cam2,62.0012,Car
840,3/20/2021,5:35:13,Cam2,46.726,Truck
841,3/21/2021,13:11:38,Cam2,46.5846,Truck
842,3/22/2021,10:37:17,Cam2,54.7844,Truck
843,3/29/2021,0:33:07,Cam2,47.1617,Bus
844,3/30/2021,13:19:52,Cam2,56.9982,Truck
845,4/1/2021,14:24:00,Cam2,45.1156,Car
846,4/2/2021,0:00:49,Cam2,60.2676,Truck
847,4/3/2021,1:14:11,Cam2,47.4338,Truck
848,4/4/2021,19:08:45,Cam2,54.7414,Motorcycle
849,4/5/2021,8:39:15,Cam2,48.5173,Motorcycle
850,4/6/2021,1:40:03,Cam2,54.6826,Motorcycle
851,4/12/2021,15:22:21,Cam2,46.5175,Truck
852,4/13/2021,23:12:31,Cam2,60.459,Car
853,4/14/2021,16:01:06,Cam2,50.9964,Motorcycle
854,4/22/2021,19:53:36,Cam2,42.9193,Bus
855,4/23/2021,12:03:05,Cam2,52.4763,Car
856,4/24/2021,5:41:54,Cam2,56.7024,Truck
857,4/25/2021,9:08:22,Cam2,53.2524,Motorcycle
858,4/26/2021,23:44:05,Cam2,57.6596,Motorcycle
